"SUID","639_1","639_2","639_2_B","639_3","Common_Twitter_Wiki_Code","Documentation","Element_Scope","Family_Code","Family_Name","Final_Name","Lang_Name","Language_Type","LogNumSpeaker","name","Num_Speakers_M","Partner_Agency","Primary_Family_Code","Primary_Family_Name","Reference_Name","selected","shared name","Status","Twitter_CLD_Only_Code","Viz_Family_Code","Viz_Family_Name","Wiki_Only_Code"
"913","","rom","","rom","","SIL","M","inc","Indic","Romany","Romany","L","6.301029995663981","rom","2.0","JAC","ine","Indo-European","Romany","false","rom","A","","inc","Indic",""
"914","mk","mkd","mac","mkd","mk","SIL","I","sla","Slavic","Macedonian","Macedonian","L","6.477121254719663","mkd","3.0","JAC","ine","Indo-European","Macedonian","false","mkd","A","","sla","Slavic",""
"915","","haw","","haw","","SIL","I","poz","Malayo-Polynesian","Hawaiian","Hawaiian","L","4.431363764158987","haw","0.027","JAC","map","Austronesian","Hawaiian","false","haw","A","","poz","Malayo-Polynesian",""
"916","ha","hau","","hau","ha","SIL","I","cdc","Chadic","Hausa","Hausa","L","7.5910646070264995","hau","39.0","JAC","afa","Afro-Asiatic","Hausa","false","hau","A","","","Afro-Asiatic (Other)",""
"917","ht","hat","","hat","ht","SIL","I","cpf","Creole (French)","Haitian","Haitian","L","7.079181246047625","hat","12.0","JAC","crp","Creoles and pidgins","Haitian","false","hat","A","","crp","Creoles and pidgins",""
"918","","","","gsc","","","I","","","Gascon","","L",,"gsc",,"SIL","","Indo-European","Gascon","false","gsc","R","","","",""
"919","","","","thd","","SIL","I","","","Thayore","","L",,"thd",,"SIL","","Other","Thayore","false","thd","A","","","",""
"920","","","","ted","","SIL","I","","","Tepo Krumen","","L",,"ted",,"SIL","","Niger-Kordofanian","Tepo Krumen","false","ted","A","","","",""
"921","","","","mif","","SIL","I","","","Mofu-Gudur","","L",,"mif",,"SIL","","Afro-Asiatic","Mofu-Gudur","false","mif","A","","","",""
"922","la","lat","","lat","la","SIL","I","itc","Italic","Latin","Latin","A","4.0","lat","0.01","JAC","ine","Indo-European","Latin","false","lat","A","","itc","Italic",""
"923","","","","ife","","SIL","I","","","Ifè","","L",,"ife",,"SIL","","Niger-Kordofanian","Ifè","false","ife","A","","","",""
"924","","","","flr","","SIL","I","","","Fuliiru","","L",,"flr",,"SIL","","Niger-Kordofanian","Fuliiru","false","flr","A","","","",""
"925","","grc","","grc","","","I","grk","Greek","Ancient Greek (to 1453)","Ancient Greek","H","0.0","grc","1.0E-6","JAC","ine","Indo-European","Ancient Greek (to 1453)","false","grc","A","","grk","Greek",""
