SourceLanguageCode	TargetLanguageCode	SourceLanguageName	TargetLanguageName	SourcePopulation	TargetPopulations	Coocurrences	PhiCorrelation	Tstatistic
aar	sme	Afar	Northern Sami	5	111	0	 -0.00000919	 -0.00007001
aar	smo	Afar	Samoan	5	114	0	 -0.00000932	 -0.00004750
aar	sna	Afar	Shona	5	154	0	 -0.00001083	 -0.00003751
aar	snd	Afar	Sindhi	5	123	0	 -0.00000968	 -0.00006910
aar	som	Afar	Somali	5	229	0	 -0.00001320	 -0.00014343
aar	sot	Afar	Southern Sotho	5	158	0	 -0.00001097	 -0.00003637
aar	spa	Afar	Spanish	5	58791	0	 -0.00021402	 -0.08163274
aar	sqi	Afar	Albanian	5	1806	0	 -0.00003709	 -0.00165628
aar	srd	Afar	Sardinian	5	133	0	 -0.00001006	 -0.00008887
aar	srn	Afar	Sranan Tongo	5	116	0	 -0.00000940	 -0.00003255
aar	ssw	Afar	Swati	5	149	0	 -0.00001065	 -0.00002818
aar	stq	Afar	Saterfriesisch	5	157	0	 -0.00001093	 -0.00003787
aar	sun	Afar	Sundanese	5	245	0	 -0.00001366	 -0.00015868
aar	swa	Afar	Swahili (macrolanguage)	5	370	0	 -0.00001678	 -0.00026110
aar	swe	Afar	Swedish	5	20863	0	 -0.00012654	 -0.02209761
aar	szl	Afar	Silesian	5	241	0	 -0.00001355	 -0.00011170
aar	tah	Afar	Tahitian	5	164	0	 -0.00001117	 -0.00004469
aar	tam	Afar	Tamil	5	897	0	 -0.00002614	 -0.00093761
aar	tat	Afar	Tatar	5	142	0	 -0.00001040	 -0.00010397
aar	tel	Afar	Telugu	5	628	0	 -0.00002187	 -0.00071930
aar	tet	Afar	Tetum	5	121	0	 -0.00000960	 -0.00004603
aar	tgk	Afar	Tajik	5	201	0	 -0.00001237	 -0.00013551
aar	tha	Afar	Thai	5	2725	0	 -0.00004557	 -0.00385406
aar	tir	Afar	Tigrinya	5	51	0	 -0.00000623	 -0.00001762
aar	ton	Afar	Tonga (Tonga Islands)	5	57	0	 -0.00000659	 -0.00002083
aar	tpi	Afar	Tok Pisin	5	100	0	 -0.00000873	 -0.00005307
aar	tsn	Afar	Tswana	5	103	0	 -0.00000885	 -0.00004427
aar	tso	Afar	Tsonga	5	106	0	 -0.00000898	 -0.00002541
aar	tuk	Afar	Turkmen	5	157	0	 -0.00001093	 -0.00008539
aar	tum	Afar	Tumbuka	5	148	0	 -0.00001061	 -0.00002373
aar	tur	Afar	Turkish	5	10189	0	 -0.00008825	 -0.01364923
aar	udm	Afar	Udmurt	5	174	0	 -0.00001151	 -0.00006612
aar	uig	Afar	Uighur	5	187	0	 -0.00001193	 -0.00008092
aar	ukr	Afar	Ukrainian	5	7076	0	 -0.00007349	 -0.00735900
aar	urd	Afar	Urdu	5	428	0	 -0.00001805	 -0.00038080
aar	uzb	Afar	Uzbek	5	314	0	 -0.00001546	 -0.00020100
aar	vec	Afar	Venetian	5	382	0	 -0.00001705	 -0.00021504
aar	ven	Afar	Venda	5	149	0	 -0.00001065	 -0.00003195
aar	vie	Afar	Vietnamese	5	3098	0	 -0.00004859	 -0.00441144
aar	vls	Afar	Vlaams	5	247	0	 -0.00001371	 -0.00018752
aar	vol	Afar	VolapÌ_k	5	135	0	 -0.00001014	 -0.00006950
aar	war	Afar	Waray (Philippines)	5	114	0	 -0.00000932	 -0.00005511
aar	wln	Afar	Walloon	5	80	0	 -0.00000780	 -0.00005407
aar	wol	Afar	Wolof	5	66	0	 -0.00000709	 -0.00003473
aar	xal	Afar	Kalmyk	5	114	0	 -0.00000932	 -0.00003608
aar	xho	Afar	Xhosa	5	58	0	 -0.00000664	 -0.00002204
aar	yid	Afar	Yiddish	5	329	0	 -0.00001583	 -0.00032819
aar	yor	Afar	Yoruba	5	165	0	 -0.00001121	 -0.00004885
aar	zea	Afar	Zeeuws	5	161	0	 -0.00001107	 -0.00006734
