	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
nld_swe	nld	swe	0.00783952683852249	562
deu_slk	deu	slk	0.128557609083041	2525
eng_ces	eng	ces	0.499425840290494	32184
nld_fin	nld	fin	0.00726156772060254	336
eng_bul	eng	bul	0.523463600341854	13475
deu_slv	deu	slv	0.187136064960735	3503
deu_spa	deu	spa	0.0892228386702197	20424
ita_nor	ita	nor	0.00827472072817542	380
spa_rus	spa	rus	0.0102208476296332	846
ita_bul	ita	bul	0.015966125398182	411
rus_tgk	rus	tgk	0.740112994350282	786
eng_ita	eng	ita	0.504245361858599	30169
lat_hun	lat	hun	0.00980196039207842	539
ron_rus	ron	rus	0.00554535350118398	459
zho_eng	zho	eng	0.0133019809424857	1946
pol_ces	pol	ces	0.0156419726265479	1008
fra_est	fra	est	0.0565882067459355	1166
eng_fra	eng	fra	0.628139375919954	149788
ita_fin	ita	fin	0.0164898100322016	763
spa_dan	spa	dan	0.0114507939937345	742
eng_ukr	eng	ukr	0.0996898537882144	450
