	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
hbs_hun	hbs	hun	0.0141664696575679	779
por_deu	por	deu	0.00451178266763429	1318
fin_hun	fin	hun	0.00303697103056975	167
rus_nep	rus	nep	0.65	91
eng_fas	eng	fas	0.705004854797423	7987
jpn_eng	jpn	eng	0.023760372947626	3476
pol_zho	pol	zho	0.00121308858739026	76
san_tel	san	tel	0.127245508982036	85
grc_bul	grc	bul	0.00539973584026105	139
rus_deu	rus	deu	0.03695006230231	10794
slv_hbs	slv	hbs	0.0156763478106404	706
zho_kac	zho	kac	0.96969696969697	64
ron_slk	ron	slk	0.00208747008808105	41
eng_lat	eng	lat	0.154696132596685	56
dan_rus	dan	rus	0.00640313149374185	530
est_lit	est	lit	0.00427267430569042	66
eng_kat	eng	kat	0.0762867647058824	166
por_spa	por	spa	0.0117338692062383	2686
rus_tur	rus	tur	0.0570153276065353	677
eng_tir	eng	tir	0.405405405405405	30
lat_ron	lat	ron	0.0087738301559792	162
rus_inh	rus	inh	0.944444444444444	51
ara_uzb	ara	uzb	0.0123322451940515	34
fra_mol	fra	mol	0.0755376344086021	281
pol_bel	pol	bel	0.0693703308431163	130
yid_pol	yid	pol	0.00155109489051095	119
ara_ita	ara	ita	0.00280795587497911	168
yid_heb	yid	heb	0.010035580695192	110
hin_ben	hin	ben	0.0399361022364217	75
ara_fin	ara	fin	0.00123187309545936	57
nor_cat	nor	cat	0.00305487669406798	55
nld_pol	nld	pol	0.0037148070907195	285
fas_ara	fas	ara	0.0134529147982063	168
fra_lav	fra	lav	0.0511970534069982	417
spa_heb	spa	heb	0.0166043244229541	182
fra_pol	fra	pol	0.0839416058394161	6440
grc_nor	grc	nor	0.00174204646908956	80
ukr_mol	ukr	mol	0.0266129032258065	99
rus_fas	rus	fas	0.0654073616382735	741
ces_heb	ces	heb	0.00364930207097893	40
nld_ces	nld	ces	0.00603643586480867	389
nor_fin	nor	fin	0.0172678351451233	799
zho_deu	zho	deu	0.00396749325628843	1159
hbs_tur	hbs	tur	0.00555836280949975	66
hun_eng	hun	eng	0.0217507211505598	3182
nor_hbs	nor	hbs	0.00395239364064304	178
eng_urd	eng	urd	0.32636815920398	328
deu_lit	deu	lit	0.138538227487538	2140
por_bul	por	bul	0.00442856032942273	114
fra_jpn	fra	jpn	0.0755808179199804	9893
rus_sqi	rus	sqi	0.0486902471511026	329
heb_ita	heb	ita	0.00429550392779542	257
dan_kal	dan	kal	0.709480122324159	232
dan_hbs	dan	hbs	0.00501820765609734	226
heb_cat	heb	cat	0.00266607420573206	48
bod_eng	bod	eng	0.00291194444064692	426
deu_por	deu	por	0.060183884048661	4497
lat_slk	lat	slk	0.00946998625324576	186
pol_est	pol	est	0.00524144625090997	108
uzb_kaa	uzb	kaa	0.0933098591549296	53
rus_krc	rus	krc	0.864077669902913	89
nld_dan	nld	dan	0.0125001929042115	810
fra_mal	fra	mal	0.0282861896838602	34
nld_est	nld	est	0.00378548895899054	78
fra_deu	fra	deu	0.110665333899303	32328
kat_rus	kat	rus	0.00804619919779636	666
ben_ori	ben	ori	0.259308510638298	195
fra_swe	fra	swe	0.0488505747126437	3502
eus_cat	eus	cat	0.0064985558764719	117
nld_deu	nld	deu	0.0213539455847517	6238
heb_ara	heb	ara	0.00344330557335042	43
grc_rus	grc	rus	0.00706760740346977	585
rus_bel	rus	bel	0.647278548559232	1213
fas_swe	fas	swe	0.00121359223300971	87
hbs_fra	hbs	fra	0.00410126518579402	978
ita_sqi	ita	sqi	0.078141186917271	528
fas_deu	fas	deu	0.00113308047267599	331
slv_ces	slv	ces	0.00147419384873219	95
eng_slk	eng	slk	0.33531897561224	6586
fra_fas	fra	fas	0.0617883308323771	700
fra_zho	fra	zho	0.0636233040702315	3986
rus_swe	rus	swe	0.0131960718669791	946
swe_lav	swe	lav	0.0190300798035605	155
jpn_dan	jpn	dan	0.00864210867451658	560
grc_slk	grc	slk	0.00442950969909882	87
jpn_fas	jpn	fas	0.00273634036543384	31
swe_rus	swe	rus	0.00707968878364664	586
eng_lav	eng	lav	0.474033149171271	3861
san_rus	san	rus	0.00167931184458513	139
grc_fin	grc	fin	0.00590002377298956	273
swe_tur	swe	tur	0.00547414519117399	65
eng_hye	eng	hye	0.0532959326788219	114
fra_rus	fra	rus	0.0955999613395834	7913
swe_fra	swe	fra	0.00560254630697425	1336
ces_lit	ces	lit	0.00589111154269437	91
deu_hye	deu	hye	0.0266479663394109	57
rus_zho	rus	zho	0.0425379090183559	2665
msa_eng	msa	eng	0.00131242566339016	192
rus_kir	rus	kir	0.827225130890052	1264
hin_pan	hin	pan	0.0833333333333333	32
tuk_rus	tuk	rus	0.00312907746580969	259
fra_por	fra	por	0.152768298068816	11415
grc_sqi	grc	sqi	0.0122835577919195	83
grc_tur	grc	tur	0.00917972039750716	109
por_zho	por	zho	0.00105347166799681	66
ara_swe	ara	swe	0.00175761633746234	126
est_eng	est	eng	0.011661448863248	1706
dan_jpn	dan	jpn	0.00205511371883905	269
ara_bul	ara	bul	0.00271929143034729	70
kaz_uig	kaz	uig	0.0208333333333333	31
dan_kor	dan	kor	0.0013430029546065	30
fra_lat	fra	lat	0.124309392265193	45
ces_hbs	ces	hbs	0.00512922994937383	231
lat_fra	lat	fra	0.0117083153361318	2792
spa_tur	spa	tur	0.0220650160013475	262
dan_ita	dan	ita	0.00294166805950192	176
hun_heb	hun	heb	0.00364930207097893	40
por_swe	por	swe	0.00276196853029796	198
rus_ron	rus	ron	0.0497183708838821	918
fro_eng	fro	eng	0.00105951030117435	155
fra_ara	fra	ara	0.16599935938501	2073
nld_nor	nld	nor	0.00762145330226684	350
bua_rus	bua	rus	0.00134103319963273	111
swe_hbs	swe	hbs	0.00488498090416556	220
sah_rus	sah	rus	0.00164306770405451	136
bod_fra	bod	fra	0.00119934748787024	286
cat_deu	cat	deu	0.00115704289959058	338
dan_fra	dan	fra	0.00428997370661277	1023
eng_rus	eng	rus	0.497112550137728	41147
fra_hye	fra	hye	0.0359981299672744	77
tur_nld	tur	nld	0.00108645877293012	121
est_rus	est	rus	0.0278596626878655	2306
kor_zho	kor	zho	0.0222505985634477	1394
swe_hun	swe	hun	0.00594664387422939	327
pol_fra	pol	fra	0.00486029279175386	1159
tel_tam	tel	tam	0.0368689733408962	65
slv_mkd	slv	mkd	0.0151243270956165	59
rus_ady	rus	ady	0.92	46
slk_ukr	slk	ukr	0.0188303057155516	85
nor_slk	nor	slk	0.00173107275596966	34
heb_fin	heb	fin	0.00412785546022347	191
aze_rus	aze	rus	0.00525540037693906	435
rus_chv	rus	chv	0.82183908045977	143
hbs_deu	hbs	deu	0.00470348208295108	1374
ara_nld	ara	nld	0.00268472043889343	299
dan_est	dan	est	0.00791070128609561	163
eng_tel	eng	tel	0.267964071856287	179
san_eng	san	eng	0.00812746934255677	1189
eng_fin	eng	fin	0.609344946078537	28195
rus_ben	rus	ben	0.223109691160809	419
por_rus	por	rus	0.0024525201759049	203
deu_ita	deu	ita	0.130285809794418	7795
rus_bul	rus	bul	0.152163779038148	3917
hin_mal	hin	mal	0.0440931780366057	53
ces_slk	ces	slk	0.19199633419887	3771
aze_fas	aze	fas	0.00264807132138759	30
nld_spa	nld	spa	0.00432484382508409	990
bod_zho	bod	zho	0.00130885873902634	82
hun_fin	hun	fin	0.00220440448661148	102
ell_fra	ell	fra	0.00251192008823172	599
rus_tab	rus	tab	0.918032786885246	56
spa_slv	spa	slv	0.0172551952561568	323
fin_nor	fin	nor	0.00387605339372428	178
deu_msa	deu	msa	0.0252954209748892	137
swe_spa	swe	spa	0.00377877768555327	865
lat_est	lat	est	0.00174714875030332	36
deu_jpn	deu	jpn	0.0673603630446242	8817
hun_ita	hun	ita	0.00309209426709009	185
ita_cat	ita	cat	0.054099089091313	974
ara_ell	ara	ell	0.00182335351177886	50
hbs_slv	hbs	slv	0.0354719803408302	664
lav_est	lav	est	0.00427080805629701	88
deu_roh	deu	roh	0.785211267605634	223
pol_ron	pol	ron	0.00823223570190641	152
rus_khm	rus	khm	0.883116883116883	204
swe_isl	swe	isl	0.0893460239484188	582
eng_cre	eng	cre	0.727272727272727	48
ell_spa	ell	spa	0.00113144904110786	259
san_ben	san	ben	0.0905218317358892	170
slv_slk	slv	slk	0.00218929789725574	43
hun_ukr	hun	ukr	0.012184315463004	55
ell_tur	ell	tur	0.00640053899275729	76
hye_eng	hye	eng	0.00118255020711718	173
eus_spa	eus	spa	0.00270848805207287	620
deu_hun	deu	hun	0.185618941970212	10207
est_fin	est	fin	0.00851505262475417	394
ara_pol	ara	pol	0.00109489051094891	84
eng_tha	eng	tha	0.880195599022005	1080
spa_sqi	spa	sqi	0.0205712594346604	139
eng_hun	eng	hun	0.508974522177163	27988
rus_uzb	rus	uzb	0.804134929270947	2217
eng_smo	eng	smo	0.638297872340426	90
fas_bul	fas	bul	0.00147618677647424	38
rus_kat	rus	kat	0.604779411764706	1316
mkd_sqi	mkd	sqi	0.0899807606926151	608
hun_fra	hun	fra	0.00331288292104016	790
jpn_swe	jpn	swe	0.00813246289476621	583
ara_eng	ara	eng	0.0110804270851846	1621
fin_lav	fin	lav	0.00662983425414365	54
eng_deu	eng	deu	0.627572537689474	183329
rus_fra	rus	fra	0.0255511337188579	6093
nor_sqi	nor	sqi	0.00636377090424745	43
swe_fin	swe	fin	0.120896457824555	5594
hun_ron	hun	ron	0.0111026863084922	205
ces_fin	ces	fin	0.00222601629530375	103
isl_eng	isl	eng	0.0013534389653711	198
ces_ita	ces	ita	0.00314223633628614	188
eng_cat	eng	cat	0.353810264385692	6370
rus_spa	rus	spa	0.0254685247477174	5830
kat_aze	kat	aze	0.0241254523522316	40
nor_sme	nor	sme	0.38150289017341	66
eng_afr	eng	afr	0.95360824742268	740
spa_ces	spa	ces	0.0131901554886565	850
pol_kat	pol	kat	0.0170036764705882	37
oci_fra	oci	fra	0.0017612795276416	420
ron_fra	ron	fra	0.00393771780108444	939
hbs_rus	hbs	rus	0.00514666795534722	426
rus_ukr	rus	ukr	0.471200708905627	2127
lat_sqi	lat	sqi	0.00562379754328844	38
eng_fil	eng	fil	0.766666666666667	115
