	bweight.new	bcommon.num.new
ara (pp) urd	0.235820895522388	237
ces (pp) fra	0.00370288053073223	883
san (pp) asm	0.0722433460076046	38
hbs (pp) hun	0.0141664696575679	779
por (pp) deu	0.00451178266763429	1318
fin (pp) hun	0.00303697103056975	167
rus (pp) nep	0.65	91
eng (pp) fas	0.705004854797423	7987
jpn (pp) eng	0.023760372947626	3476
pol (pp) zho	0.00121308858739026	76
san (pp) tel	0.127245508982036	85
grc (pp) bul	0.00539973584026105	139
rus (pp) deu	0.03695006230231	10794
slv (pp) hbs	0.0156763478106404	706
zho (pp) kac	0.96969696969697	64
ron (pp) slk	0.00208747008808105	41
eng (pp) lat	0.154696132596685	56
dan (pp) rus	0.00640313149374185	530
est (pp) lit	0.00427267430569042	66
eng (pp) kat	0.0762867647058824	166
por (pp) spa	0.0117338692062383	2686
rus (pp) tur	0.0570153276065353	677
eng (pp) tir	0.405405405405405	30
lat (pp) ron	0.0087738301559792	162
rus (pp) inh	0.944444444444444	51
ara (pp) uzb	0.0123322451940515	34
fra (pp) mol	0.0755376344086021	281
pol (pp) bel	0.0693703308431163	130
yid (pp) pol	0.00155109489051095	119
ara (pp) ita	0.00280795587497911	168
yid (pp) heb	0.010035580695192	110
hin (pp) ben	0.0399361022364217	75
ara (pp) fin	0.00123187309545936	57
nor (pp) cat	0.00305487669406798	55
nld (pp) pol	0.0037148070907195	285
fas (pp) ara	0.0134529147982063	168
fra (pp) lav	0.0511970534069982	417
spa (pp) heb	0.0166043244229541	182
fra (pp) pol	0.0839416058394161	6440
grc (pp) nor	0.00174204646908956	80
ukr (pp) mol	0.0266129032258065	99
rus (pp) fas	0.0654073616382735	741
ces (pp) heb	0.00364930207097893	40
nld (pp) ces	0.00603643586480867	389
nor (pp) fin	0.0172678351451233	799
zho (pp) deu	0.00396749325628843	1159
hbs (pp) tur	0.00555836280949975	66
hun (pp) eng	0.0217507211505598	3182
nor (pp) hbs	0.00395239364064304	178
eng (pp) urd	0.32636815920398	328
deu (pp) lit	0.138538227487538	2140
por (pp) bul	0.00442856032942273	114
fra (pp) jpn	0.0755808179199804	9893
rus (pp) sqi	0.0486902471511026	329
heb (pp) ita	0.00429550392779542	257
dan (pp) kal	0.709480122324159	232
dan (pp) hbs	0.00501820765609734	226
heb (pp) cat	0.00266607420573206	48
bod (pp) eng	0.00291194444064692	426
deu (pp) por	0.060183884048661	4497
lat (pp) slk	0.00946998625324576	186
pol (pp) est	0.00524144625090997	108
uzb (pp) kaa	0.0933098591549296	53
rus (pp) krc	0.864077669902913	89
nld (pp) dan	0.0125001929042115	810
fra (pp) mal	0.0282861896838602	34
nld (pp) est	0.00378548895899054	78
fra (pp) deu	0.110665333899303	32328
kat (pp) rus	0.00804619919779636	666
ben (pp) ori	0.259308510638298	195
fra (pp) swe	0.0488505747126437	3502
eus (pp) cat	0.0064985558764719	117
nld (pp) deu	0.0213539455847517	6238
heb (pp) ara	0.00344330557335042	43
grc (pp) rus	0.00706760740346977	585
rus (pp) bel	0.647278548559232	1213
fas (pp) swe	0.00121359223300971	87
hbs (pp) fra	0.00410126518579402	978
ita (pp) sqi	0.078141186917271	528
fas (pp) deu	0.00113308047267599	331
slv (pp) ces	0.00147419384873219	95
eng (pp) slk	0.33531897561224	6586
fra (pp) fas	0.0617883308323771	700
fra (pp) zho	0.0636233040702315	3986
rus (pp) swe	0.0131960718669791	946
swe (pp) lav	0.0190300798035605	155
jpn (pp) dan	0.00864210867451658	560
grc (pp) slk	0.00442950969909882	87
jpn (pp) fas	0.00273634036543384	31
swe (pp) rus	0.00707968878364664	586
eng (pp) lav	0.474033149171271	3861
san (pp) rus	0.00167931184458513	139
grc (pp) fin	0.00590002377298956	273
swe (pp) tur	0.00547414519117399	65
eng (pp) hye	0.0532959326788219	114
fra (pp) rus	0.0955999613395834	7913
swe (pp) fra	0.00560254630697425	1336
ces (pp) lit	0.00589111154269437	91
deu (pp) hye	0.0266479663394109	57
rus (pp) zho	0.0425379090183559	2665
msa (pp) eng	0.00131242566339016	192
rus (pp) kir	0.827225130890052	1264
hin (pp) pan	0.0833333333333333	32
tuk (pp) rus	0.00312907746580969	259
fra (pp) por	0.152768298068816	11415
grc (pp) sqi	0.0122835577919195	83
grc (pp) tur	0.00917972039750716	109
por (pp) zho	0.00105347166799681	66
ara (pp) swe	0.00175761633746234	126
est (pp) eng	0.011661448863248	1706
dan (pp) jpn	0.00205511371883905	269
ara (pp) bul	0.00271929143034729	70
kaz (pp) uig	0.0208333333333333	31
dan (pp) kor	0.0013430029546065	30
fra (pp) lat	0.124309392265193	45
ces (pp) hbs	0.00512922994937383	231
lat (pp) fra	0.0117083153361318	2792
spa (pp) tur	0.0220650160013475	262
dan (pp) ita	0.00294166805950192	176
hun (pp) heb	0.00364930207097893	40
por (pp) swe	0.00276196853029796	198
rus (pp) ron	0.0497183708838821	918
fro (pp) eng	0.00105951030117435	155
fra (pp) ara	0.16599935938501	2073
nld (pp) nor	0.00762145330226684	350
bua (pp) rus	0.00134103319963273	111
swe (pp) hbs	0.00488498090416556	220
sah (pp) rus	0.00164306770405451	136
bod (pp) fra	0.00119934748787024	286
cat (pp) deu	0.00115704289959058	338
dan (pp) fra	0.00428997370661277	1023
eng (pp) rus	0.497112550137728	41147
fra (pp) hye	0.0359981299672744	77
tur (pp) nld	0.00108645877293012	121
est (pp) rus	0.0278596626878655	2306
kor (pp) zho	0.0222505985634477	1394
swe (pp) hun	0.00594664387422939	327
pol (pp) fra	0.00486029279175386	1159
tel (pp) tam	0.0368689733408962	65
slv (pp) mkd	0.0151243270956165	59
rus (pp) ady	0.92	46
slk (pp) ukr	0.0188303057155516	85
nor (pp) slk	0.00173107275596966	34
heb (pp) fin	0.00412785546022347	191
aze (pp) rus	0.00525540037693906	435
rus (pp) chv	0.82183908045977	143
hbs (pp) deu	0.00470348208295108	1374
ara (pp) nld	0.00268472043889343	299
dan (pp) est	0.00791070128609561	163
eng (pp) tel	0.267964071856287	179
san (pp) eng	0.00812746934255677	1189
eng (pp) fin	0.609344946078537	28195
rus (pp) ben	0.223109691160809	419
por (pp) rus	0.0024525201759049	203
deu (pp) ita	0.130285809794418	7795
rus (pp) bul	0.152163779038148	3917
hin (pp) mal	0.0440931780366057	53
ces (pp) slk	0.19199633419887	3771
aze (pp) fas	0.00264807132138759	30
nld (pp) spa	0.00432484382508409	990
bod (pp) zho	0.00130885873902634	82
hun (pp) fin	0.00220440448661148	102
ell (pp) fra	0.00251192008823172	599
rus (pp) tab	0.918032786885246	56
spa (pp) slv	0.0172551952561568	323
fin (pp) nor	0.00387605339372428	178
deu (pp) msa	0.0252954209748892	137
swe (pp) spa	0.00377877768555327	865
lat (pp) est	0.00174714875030332	36
deu (pp) jpn	0.0673603630446242	8817
hun (pp) ita	0.00309209426709009	185
ita (pp) cat	0.054099089091313	974
ara (pp) ell	0.00182335351177886	50
hbs (pp) slv	0.0354719803408302	664
lav (pp) est	0.00427080805629701	88
deu (pp) roh	0.785211267605634	223
pol (pp) ron	0.00823223570190641	152
rus (pp) khm	0.883116883116883	204
swe (pp) isl	0.0893460239484188	582
eng (pp) cre	0.727272727272727	48
ell (pp) spa	0.00113144904110786	259
san (pp) ben	0.0905218317358892	170
slv (pp) slk	0.00218929789725574	43
hun (pp) ukr	0.012184315463004	55
ell (pp) tur	0.00640053899275729	76
hye (pp) eng	0.00118255020711718	173
eus (pp) spa	0.00270848805207287	620
deu (pp) hun	0.185618941970212	10207
est (pp) fin	0.00851505262475417	394
ara (pp) pol	0.00109489051094891	84
eng (pp) tha	0.880195599022005	1080
spa (pp) sqi	0.0205712594346604	139
eng (pp) hun	0.508974522177163	27988
rus (pp) uzb	0.804134929270947	2217
eng (pp) smo	0.638297872340426	90
fas (pp) bul	0.00147618677647424	38
rus (pp) kat	0.604779411764706	1316
mkd (pp) sqi	0.0899807606926151	608
hun (pp) fra	0.00331288292104016	790
jpn (pp) swe	0.00813246289476621	583
ara (pp) eng	0.0110804270851846	1621
fin (pp) lav	0.00662983425414365	54
eng (pp) deu	0.627572537689474	183329
rus (pp) fra	0.0255511337188579	6093
nor (pp) sqi	0.00636377090424745	43
swe (pp) fin	0.120896457824555	5594
hun (pp) ron	0.0111026863084922	205
ces (pp) fin	0.00222601629530375	103
isl (pp) eng	0.0013534389653711	198
ces (pp) ita	0.00314223633628614	188
eng (pp) cat	0.353810264385692	6370
rus (pp) spa	0.0254685247477174	5830
kat (pp) aze	0.0241254523522316	40
nor (pp) sme	0.38150289017341	66
eng (pp) afr	0.95360824742268	740
spa (pp) ces	0.0131901554886565	850
pol (pp) kat	0.0170036764705882	37
oci (pp) fra	0.0017612795276416	420
ron (pp) fra	0.00393771780108444	939
hbs (pp) rus	0.00514666795534722	426
rus (pp) ukr	0.471200708905627	2127
lat (pp) sqi	0.00562379754328844	38
eng (pp) fil	0.766666666666667	115
dan (pp) lit	0.0105522107852657	163
ben (pp) eng	0.0033289130107865	487
dan (pp) slv	0.00341898605694749	64
hin (pp) mar	0.082004555808656	72
deu (pp) bul	0.0920674384274726	2370
nor (pp) swe	0.0418619573708292	3001
isl (pp) nor	0.00263484528449796	121
ita (pp) fra	0.0486867983712358	11610
fra (pp) kaz	0.0158924205378973	39
spa (pp) glg	0.347110923660903	823
est (pp) lav	0.0116635972989564	95
ukr (pp) bul	0.00279698547121436	72
grc (pp) kor	0.00228310502283105	51
pol (pp) hun	0.00991107312371565	545
hun (pp) lit	0.00427267430569042	66
zho (pp) fra	0.00618544596016992	1475
san (pp) hin	0.144894466628637	508
slk (pp) hun	0.0200767426212515	1104
lat (pp) deu	0.01251523325711	3656
eng (pp) aze	0.0404101326899879	67
nor (pp) spa	0.00138482372985016	317
hin (pp) eng	0.00246763366918671	361
ces (pp) pol	0.0102711157455683	788
hun (pp) hbs	0.00917044142463807	413
zho (pp) ita	0.00267424369045629	160
eng (pp) kan	0.297142857142857	208
rus (pp) tel	0.284431137724551	190
grc (pp) est	0.00150448920165008	31
nld (pp) msa	0.0299113737075332	162
rus (pp) nor	0.0117152625046273	538
spa (pp) nor	0.00969013348431069	445
rus (pp) hun	0.0459728309298223	2528
