source	target	exposure
tel	deu	22
kaz	aze	4
eng	xsm	3
kir	tam	5
isl	pol	7
fas	tat	2
sqi	por	10
bul	epo	16
tgk	tuk	6
grc	blw	1
jpn	ara	32
lkt	eng	4
est	cat	1
non	fin	5
sum	deu	1
cbs	spa	1
tat	chv	2
hlb	eng	1
iku	fra	9
fra	lao	1
grc	ozm	9
ful	eng	2
uzb	guj	1
lat	dan	236
kal	swe	3
fra	sin	31
yid	est	9
bel	deu	54
ces	sah	1
mon	est	2
brh	urd	1
cre	dak	14
haw	ces	1
fra	gur	4
kaz	hun	2
fas	ori	1
dan	mal	1
heb	udm	2
eng	bvz	1
sqi	bul	13
hin	uzb	8
lav	kaa	2
hau	fra	1
pli	msa	1
ukr	spa	27
akk	pol	6
eng	tbw	3
fra	ktu	1
kur	hye	1
acr	fra	1
lat	ara	41
ces	fas	16
fro	zho	2
hbs	xal	1
dan	kir	1
nor	bel	1
pli	kor	1
por	glg	59
hbs	ita	606
kbd	hye	1
fas	glg	1
smn	nor	1
grc	srn	8
lav	tuk	5
ozm	fra	1
eng	gle	112
fro	spa	125
cre	fra	4
kib	eng	1
hin	san	18
mic	fra	2
ben	eus	3
mhg	eng	1
fil	ita	1
kir	bul	2
deu	sqi	583
mol	kaa	2
eng	suq	3
fra	fmp	3
frm	ori	1
grc	enm	2
pli	kan	1
grc	kzr	5
chu	krl	1
uzb	pol	4
nhv	spa	1
uzb	urd	10
spa	fas	97
cym	cat	1
por	ukr	15
hbs	heb	18
bod	ben	7
ara	isl	9
dan	sah	1
slk	hye	4
ron	fin	8
paw	deu	1
grc	msb	1
wlm	nor	1
deu	eng	28028
vie	lit	7
nor	deu	1973
cat	por	35
mol	bul	14
deu	bik	1
arc	ces	15
grc	yre	1
spa	hun	811
fro	glg	3
mic	eng	3
eng	ndo	3
heb	lit	38
lit	khm	2
yuc	eng	1
mns	rus	11
dan	ces	164
dum	hun	1
fur	ita	3
ara	msa	1029
heb	daa	4
vie	rus	75
spa	cat	3616
por	isl	5
kir	swe	6
ara	mlg	2
dan	tiz	1
pib	spa	1
frr	fra	1
xal	oss	1
arx	eng	1
ara	kat	7
kaz	kaa	8
deu	abk	1
ncx	spa	1
nep	ori	1
jpn	sqi	25
slk	nld	13
taa	eng	2
kor	heb	3
tur	asm	1
sux	eng	24
tuk	mal	1
san	por	29
sba	fra	1
tuk	lao	1
lad	eng	12
tam	ita	1
tur	lit	15
fra	fao	4
sqi	lit	1
bul	ron	58
hye	bul	28
aze	ces	6
kat	ukr	47
mya	vie	1
urd	rus	21
tha	fra	38
fra	tbt	3
fin	bel	5
tam	kor	1
heb	tpm	1
slv	ron	4
fro	swe	3
msa	ara	1
eng	gjn	2
gle	hbs	3
chm	est	10
myv	est	6
heb	fod	1
xua	deu	1
kaz	kor	11
est	tuk	4
tel	asm	2
vie	bel	4
kor	deu	197
eng	yam	4
mon	eng	17
arc	hbs	2
arc	fin	3
kas	guj	1
swe	sme	50
ang	hun	1
spa	swe	661
eng	kaz	112
sqi	ell	91
mal	fra	13
eng	tnd	1
swe	kor	26
ita	dan	616
spa	deu	6493
fra	bba	4
tyv	kaz	1
heb	krc	1
yid	mol	4
pro	jpn	2
fra	grc	3
vie	bak	1
syr	ara	1
kik	eng	10
swe	tir	7
ara	afr	1
swe	ron	85
fas	eus	2
lat	roh	2
ita	ara	135
guj	deu	3
est	kaz	11
mal	ces	1
est	mon	3
fra	box	23
ces	eng	3118
tuk	ori	1
hun	mkd	18
sin	eng	23
kur	rus	19
jpn	deu	2090
fas	hbs	43
fij	fra	1
eng	cgc	3
tgk	lav	4
kat	hun	12
kaq	spa	2
mar	zho	1
jpn	asm	1
tel	mar	2
tat	kaa	5
cat	swe	19
ita	isl	43
kat	epo	2
cop	eng	59
eng	bfd	4
rus	sme	3
ron	lat	4
wol	deu	1
xno	deu	1
spa	prt	1
cat	fra	689
mcb	spa	5
grc	tuz	1
que	eng	7
ara	est	17
est	vep	1
gle	hun	3
mga	eng	9
abk	tur	2
jpn	nld	334
aze	fra	9
alt	tyv	1
grc	orv	2
akk	ces	4
fin	pol	109
isl	tha	1
grc	bcq	1
msa	tur	2
hbs	zho	14
vie	ell	1
osp	jpn	1
moz	fra	1
bod	asm	2
eng	mcu	2
kir	mar	2
mkd	kaz	1
jav	eng	5
nor	kaz	6
nyj	eng	1
gle	swe	5
spa	asm	7
eng	ful	2
tat	eng	5
hin	lit	5
epo	slk	2
ang	eng	88
uzb	kat	2
gle	deu	82
deu	tuv	1
gmh	pdt	1
lat	mkd	29
tel	rus	6
pus	fra	9
eng	cro	1
eng	bar	1
rus	hin	553
epo	hbs	7
est	nld	10
uga	ces	1
grc	ron	251
sin	rus	4
tur	bul	64
fkv	eng	1
chv	rus	169
tam	ben	6
lad	roh	2
ivv	eng	1
hye	rus	478
gmh	ron	1
fao	eng	11
ita	glg	98
ipk	eng	4
rus	kum	55
bet	fra	1
heb	gjn	1
eng	anv	9
ell	est	18
grc	hye	15
tel	nld	2
xal	tyv	1
tur	eus	3
deu	miq	1
bak	hun	2
bod	heb	1
tat	aze	4
uby	eng	1
fas	zho	28
rus	nld	1035
swe	cat	121
eng	nld	73423
zho	oci	2
pol	rus	1560
pli	est	4
ukr	mlg	1
lat	spa	2898
fra	pap	1
chm	eng	2
grc	goh	1
heb	ron	50
eng	sjm	5
mon	tuk	2
jpn	mon	27
ijc	eng	1
ava	xal	1
tam	jpn	8
bak	bul	1
fur	fra	2
san	nor	9
nor	roh	1
eng	xon	1
eng	ast	48
vie	ara	4
tur	isl	2
que	pol	1
jpn	fra	8576
grc	box	2
grc	flr	9
por	kaz	5
sme	sma	3
fra	kaa	3
tpw	eng	1
rus	bak	457
cym	nld	9
mar	deu	9
gmh	kat	2
non	pol	1
grc	ncf	1
ukr	ara	10
enm	eng	149
rus	dar	59
deu	chv	1
sga	eng	9
ota	fra	4
bel	rus	707
pan	hin	118
deu	fil	2
koy	eng	1
cos	eng	1
ang	deu	13
swe	aze	3
fin	fra	324
ara	aze	17
niu	eng	1
fin	mol	2
tuk	est	6
ara	azr	1
tet	por	1
afr	deu	50
pro	fra	80
mya	zho	3
ara	bak	4
pan	mal	10
eng	sma	5
msa	rus	11
dan	dar	1
ceb	fil	1
kaz	rus	669
kir	dan	3
dan	lat	4
urd	lah	3
rus	mar	160
isl	kaz	1
slv	hye	1
heb	mol	21
deu	gmh	2
swe	dar	1
dan	gle	1
ita	ast	7
lat	bul	115
mdf	deu	1
tam	swe	2
peo	dan	1
tuk	hbs	3
grc	uzb	9
fin	deu	670
grc	kgh	2
hun	ara	8
eng	tlh	1
glg	eng	128
sme	hun	2
ces	aze	5
bar	deu	1
kor	hbs	9
zho	nep	1
jpn	kat	13
cym	gle	2
slv	rus	40
roh	gsw	1
nld	fri	35
sin	new	2
