Final_Code	Final_Name	Status	Partner_Agency	639_3	639_2	639_2_B	639_1	Common_Twitter_Wiki_Code	Twitter_CLD_Only_Code	Wiki_Only_Code	Reference_Name	Element_Scope	Language_Type	Documentation
acz	Acheron	A	SIL	acz							Acheron	I	L	SIL
ada	Adangme	A	JAC	ada	ada						Adangme	I	L	SIL
adb	Adabe	A	SIL	adb							Adabe	I	L	SIL
add	Dzodinka	A	SIL	add							Dzodinka	I	L	SIL
ade	Adele	A	SIL	ade							Adele	I	L	SIL
adg	Andegerebinha	A	SIL	adg							Andegerebinha	I	L	SIL
adh	Adhola	A	SIL	adh							Adhola	I	L	SIL
adi	Adi	A	SIL	adi							Adi	I	L	SIL
adj	Adioukrou	A	SIL	adj							Adioukrou	I	L	SIL
adl	Galo	A	SIL	adl							Galo	I	L	SIL
adn	Adang	A	SIL	adn							Adang	I	L	SIL
ado	Abu	A	SIL	ado							Abu	I	L	SIL
adp	Adap	A	SIL	adp							Adap	I	L	SIL
adq	Adangbe	A	SIL	adq							Adangbe	I	L	SIL
adr	Adonara	A	SIL	adr							Adonara	I	L	SIL
ads	Adamorobe Sign Language	A	SIL	ads							Adamorobe Sign Language	I	L	SIL
adt	Adnyamathanha	A	SIL	adt							Adnyamathanha	I	L	SIL
adu	Aduge	A	SIL	adu							Aduge	I	L	SIL
adw	Amundava	A	SIL	adw							Amundava	I	L	SIL
adx	Amdo Tibetan	A	SIL	adx							Amdo Tibetan	I	L	SIL
ady	Adyghe	A	JAC	ady	ady						Adyghe	I	L	SIL
adz	Adzera	A	SIL	adz							Adzera	I	L	SIL
aea	Areba	A	SIL	aea							Areba	I	E	SIL
aed	Argentine Sign Language	A	SIL	aed							Argentine Sign Language	I	L	SIL
aee	Northeast Pashayi	A	SIL	aee							Northeast Pashayi	I	L	SIL
aek	Haeke	A	SIL	aek							Haeke	I	L	SIL
ael	Ambele	A	SIL	ael							Ambele	I	L	SIL
aem	Arem	A	SIL	aem							Arem	I	L	SIL
aen	Armenian Sign Language	A	SIL	aen							Armenian Sign Language	I	L	SIL
aeq	Aer	A	SIL	aeq							Aer	I	L	SIL
aer	Eastern Arrernte	A	SIL	aer							Eastern Arrernte	I	L	SIL
aes	Alsea	A	SIL	aes							Alsea	I	E	SIL
aeu	Akeu	A	SIL	aeu							Akeu	I	L	SIL
aew	Ambakich	A	SIL	aew							Ambakich	I	L	SIL
aex	Amerax	R	SIL	aex							Amerax	I	L	
aey	Amele	A	SIL	aey							Amele	I	L	SIL
aez	Aeka	A	SIL	aez							Aeka	I	L	SIL
afd	Andai	A	SIL	afd							Andai	I	L	SIL
afe	Putukwam	A	SIL	afe							Putukwam	I	L	SIL
afg	Afghan Sign Language	A	SIL	afg							Afghan Sign Language	I	L	SIL
afh	Afrihili	A	JAC	afh	afh						Afrihili	I	C	
afi	Akrukay	A	SIL	afi							Akrukay	I	L	SIL
afk	Nanubae	A	SIL	afk							Nanubae	I	L	SIL
afn	Defaka	A	SIL	afn							Defaka	I	L	SIL
afo	Eloyi	A	SIL	afo							Eloyi	I	L	SIL
afp	Tapei	A	SIL	afp							Tapei	I	L	SIL
afr	Afrikaans	A	JAC	afr	afr		af	af			Afrikaans	I	L	SIL
afs	Afro-Seminole Creole	A	SIL	afs							Afro-Seminole Creole	I	L	SIL
aft	Afitti	A	SIL	aft							Afitti	I	L	SIL
afu	Awutu	A	SIL	afu							Awutu	I	L	SIL
afz	Obokuitai	A	SIL	afz							Obokuitai	I	L	SIL
aga	Aguano	A	SIL	aga							Aguano	I	E	SIL
agb	Legbo	A	SIL	agb							Legbo	I	L	SIL
agc	Agatu	A	SIL	agc							Agatu	I	L	SIL
agd	Agarabi	A	SIL	agd							Agarabi	I	L	SIL
age	Angal	A	SIL	age							Angal	I	L	SIL
agf	Arguni	A	SIL	agf							Arguni	I	L	SIL
agg	Angor	A	SIL	agg							Angor	I	L	SIL
agh	Ngelima	A	SIL	agh							Ngelima	I	L	SIL
agi	Agariya	A	SIL	agi							Agariya	I	L	SIL
agj	Argobba	A	SIL	agj							Argobba	I	L	SIL
agk	Isarog Agta	A	SIL	agk							Isarog Agta	I	L	SIL
agl	Fembe	A	SIL	agl							Fembe	I	L	SIL
agm	Angaataha	A	SIL	agm							Angaataha	I	L	SIL
agn	Agutaynen	A	SIL	agn							Agutaynen	I	L	SIL
ago	Tainae	A	SIL	ago							Tainae	I	L	SIL
agp	Paranan	R	SIL	agp							Paranan	I	L	
agq	Aghem	A	SIL	agq							Aghem	I	L	SIL
agr	Aguaruna	A	SIL	agr							Aguaruna	I	L	SIL
ags	Esimbi	A	SIL	ags							Esimbi	I	L	SIL
agt	Central Cagayan Agta	A	SIL	agt							Central Cagayan Agta	I	L	SIL
agu	Aguacateco	A	SIL	agu							Aguacateco	I	L	SIL
agv	Remontado Dumagat	A	SIL	agv							Remontado Dumagat	I	L	SIL
agw	Kahua	A	SIL	agw							Kahua	I	L	SIL
agx	Aghul	A	SIL	agx							Aghul	I	L	SIL
agy	Southern Alta	A	SIL	agy							Southern Alta	I	L	SIL
agz	Mt. Iriga Agta	A	SIL	agz							Mt. Iriga Agta	I	L	SIL
aha	Ahanta	A	SIL	aha							Ahanta	I	L	SIL
ahb	Axamb	A	SIL	ahb							Axamb	I	L	SIL
ahe	Ahe	R	SIL	ahe							Ahe	I	L	
ahg	Qimant	A	SIL	ahg							Qimant	I	L	SIL
