name	num.exp	trans.to	degree.from	degree.to
sba	1	0	1	0
kwk	2	0	1	0
por	11390	74721	66	71
kwn	0	1	0	1
pol	14104	76720	64	93
ang	147	8	21	4
non	299	1	22	1
yaq	2	0	1	0
tgk	476	1062	29	55
hag	1	5	1	2
fra	216624	238463	260	280
dum	84	0	11	0
swa	65	323	16	13
dua	5	1	3	1
fri	119	118	6	9
swb	1	0	1	0
swe	39192	71688	85	92
due	0	3	0	1
swg	2	21	2	5
tue	1	0	1	0
frs	3	4	1	4
frr	7	4	3	3
noo	1	0	1	0
frp	1	3	1	1
xal	153	42	15	6
khq	1	0	1	0
dje	6	0	1	0
dur	0	1	0	1
mez	1	0	1	0
yaa	3	0	1	0
duu	0	1	0	1
glh	1	0	1	0
mcm	1	0	1	0
otk	12	0	5	0
nrn	2	0	1	0
ota	16	1	6	1
mcd	2	0	1	0
mcb	5	1	1	1
fij	1	8	1	2
hmn	8	30	4	2
yas	0	2	0	1
nna	1	0	1	0
gag	19	15	5	4
mcu	1	12	1	3
gad	0	2	0	2
hmb	3	0	1	0
mcp	0	12	0	2
eip	1	0	1	0
mla	1	0	1	0
fur	8	0	3	0
mlg	32	204	5	13
cuk	3	0	2	0
slv	2463	18719	44	60
hdy	0	4	0	2
slm	0	4	0	2
mlp	0	1	0	1
ain	1	0	1	0
slh	3	0	2	0
fil	87	150	10	16
mlt	27	86	11	12
slk	4205	19641	46	75
fun	0	1	0	1
mym	0	8	0	2
ful	20	9	3	3
gnn	0	2	0	2
srd	6	0	5	0
mqb	6	4	1	1
ivb	0	2	0	2
jpn	26921	130893	74	95
wlm	5	0	4	0
kho	2	0	2	0
mql	0	2	0	1
fwa	2	0	1	0
vot	0	5	0	3
nnw	0	13	0	3
ivv	1	0	1	0
tzb	0	2	0	1
sjt	2	0	1	0
rif	1	0	1	0
ave	17	0	9	0
tzm	49	11	6	3
ava	186	64	34	7
daa	0	17	0	4
pap	6	2	2	2
cjk	1	0	1	0
ewo	1	0	1	0
cjo	2	1	1	1
paw	2	0	2	0
sef	1	0	1	0
tqo	1	0	1	0
ewe	7	4	2	1
piu	1	0	1	0
kjq	1	0	1	0
pad	0	1	0	1
pag	2	0	2	0
cjs	3	0	1	0
cjv	0	1	0	1
pam	1	0	1	0
pan	327	384	18	32
pao	1	0	1	0
nij	1	0	1	0
syb	0	5	0	3
dga	1	0	1	0
nio	2	0	1	0
mzs	1	0	1	0
kir	708	1528	65	64
sjm	0	10	0	3
orv	173	4	28	3
dgr	2	4	1	1
syr	252	11	25	6
kio	2	0	1	0
kin	3	4	1	1
dgz	0	1	0	1
mzm	0	1	0	1
pcd	18	10	1	2
niv	11	3	5	1
niu	25	67	6	6
tlh	2	1	1	1
knj	1	1	1	1
gsw	27	116	4	10
pdc	2	1	1	1
kne	0	22	0	2
epo	99	542	25	35
gsc	11	5	1	1
tcs	2	0	2	0
hbs	12743	45036	62	80
wya	4	0	1	0
thd	1	11	1	2
jbj	0	1	0	1
tha	215	1227	25	21
adj	0	4	0	2
xed	0	5	0	3
mfe	9	9	2	4
xeb	1	0	1	0
tcy	2	0	2	0
mfh	0	1	0	1
mfi	0	1	0	1
vec	5	0	4	0
kkj	0	27	0	3
mmu	0	2	0	1
naz	1	0	1	0
gde	1	14	1	2
nou	0	1	0	1
xrb	0	12	0	3
tcb	1	0	1	0
jrb	12	0	6	0
cuv	1	0	1	0
gmh	595	15	30	6
ell	4862	27422	45	58
gml	2	0	2	0
ady	75	50	4	5
txg	2	0	1	0
haz	0	1	0	1
bno	0	1	0	1
bnc	0	13	0	2
cul	1	1	1	1
hat	22	7	3	5
hau	9	53	3	7
haw	18	10	2	2
amh	58	317	15	12
psh	1	0	1	0
psi	4	3	2	1
amm	0	1	0	1
bik	0	2	0	2
mos	4	3	1	2
mor	2	0	1	0
bib	0	12	0	3
mov	1	1	1	1
amx	1	0	1	0
moh	3	0	2	0
mon	244	2423	33	45
mol	2864	3720	37	74
biv	0	4	0	1
opm	0	1	0	1
moa	0	2	0	1
poq	1	0	1	0
bis	2	2	2	2
moe	2	0	2	0
wbp	16	9	2	3
mhg	2	0	2	0
gjn	0	3	0	2
bps	0	11	0	1
bpr	0	1	0	1
wbl	0	1	0	1
wbm	0	28	0	2
xsm	1	37	1	4
kdh	0	11	0	4
kdd	1	0	1	0
lut	1	0	1	0
apm	1	0	1	0
olo	0	3	0	2
tvl	0	1	0	1
ijc	1	0	1	0
wwa	0	22	0	4
iai	1	0	1	0
xsb	0	1	0	1
esu	2	0	1	0
est	5739	20605	59	101
gvn	0	1	0	1
kmb	0	2	0	2
kma	0	4	0	1
jgo	0	2	0	1
nen	4	0	2	0
kmh	0	1	0	1
fod	0	3	0	3
peo	11	0	6	0
uma	0	1	0	1
ddn	0	1	0	1
tmh	27	1	5	1
fon	1	8	1	2
cni	1	1	1	1
plw	3	2	3	2
run	3	0	1	0
cgc	0	4	0	2
rug	0	7	0	2
mzw	0	8	0	3
uby	1	0	1	0
zna	0	3	0	1
xua	1	0	1	0
sag	3	1	2	1
rus	101395	82772	150	172
rup	5	9	5	6
kal	86	327	9	12
rut	0	2	0	2
bbj	0	3	0	1
obo	0	4	0	3
mhu	1	0	1	0
ylr	1	0	1	0
acf	3	3	2	3
ndo	1	4	1	2
acd	0	6	0	3
ach	3	0	3	0
nde	3	14	2	3
dzo	1	0	1	0
srm	25	3	1	1
srr	0	4	0	1
acr	4	2	2	1
kri	1	1	1	1
krl	23	7	7	5
sru	1	0	1	0
krc	141	103	18	10
idd	0	2	0	2
mhq	2	0	2	0
nuy	1	0	1	0
ayt	0	2	0	1
zul	19	23	3	1
xnn	0	1	0	1
chk	0	1	0	1
mbi	0	3	0	1
sog	1	0	1	0
nso	0	10	0	1
mbd	0	10	0	1
fro	902	20	35	7
sok	0	8	0	2
kat	1224	2176	55	66
som	26	102	7	10
aho	1	0	1	0
bji	0	1	0	1
bbb	0	1	0	1
bjt	0	2	0	1
sot	9	9	4	2
aht	1	0	1	0
mbt	0	2	0	1
yrk	41	4	5	1
nss	1	0	1	0
mbs	0	5	0	1
ixj	0	1	0	1
yam	0	11	0	4
mkd	1592	3901	38	52
log	0	3	0	1
her	1	3	1	2
yrb	0	1	0	1
msm	0	9	0	2
lol	1	0	1	0
mkw	0	5	0	4
loq	0	2	0	1
heb	9889	10961	205	47
hem	0	1	0	1
rcf	35	16	2	4
gil	1	0	1	0
rmu	0	11	0	1
war	0	1	0	1
wap	1	3	1	1
sid	0	3	0	2
wni	0	1	0	1
buu	0	3	0	1
sda	1	0	1	0
bul	3667	25742	57	77
bum	2	2	1	1
nhv	2	0	2	0
wal	0	1	0	1
bua	128	47	10	3
bug	1	0	1	0
mtp	0	3	0	1
aze	774	1658	38	59
cim	0	2	0	1
zha	0	101	0	1
azz	1	0	1	0
azr	0	1	0	1
mta	0	16	0	2
mtg	0	1	0	1
zho	13337	62650	93	69
pil	0	2	0	1
uig	81	1488	11	27
nnh	0	15	0	2
maw	0	7	0	2
cbk	1	0	1	0
pib	1	1	1	1
sxn	0	1	0	1
myv	70	32	7	3
cbs	1	0	1	0
piz	2	0	1	0
ino	0	1	0	1
inh	51	54	4	4
khm	51	231	6	15
cbt	0	1	0	1
sxw	0	1	0	1
mya	60	274	12	15
kha	3	0	2	0
pir	0	1	0	1
pis	0	1	0	1
ina	0	3	0	1
tiy	0	2	0	2
tiz	0	145	0	3
kqy	0	6	0	3
tiw	0	6	0	2
tir	1	74	1	13
nap	11	0	6	0
naq	0	1	0	1
nav	14	13	4	1
grc	17342	22	378	8
kqe	0	10	0	2
tik	0	19	0	3
grn	9	2	4	2
scl	1	0	1	0
nay	0	2	0	2
yor	21	28	5	5
tpr	1	0	1	0
zun	3	0	2	0
pau	0	4	0	2
yka	0	1	0	1
squ	2	0	1	0
sjd	1	2	1	1
sqi	1424	6757	34	50
dos	0	11	0	1
ess	1	0	1	0
mgv	1	0	1	0
agt	0	9	0	2
bci	1	0	1	0
bcj	0	1	0	1
oty	1	0	1	0
hni	0	12	0	2
bca	0	2	0	1
hnn	0	1	0	1
hns	22	2	1	2
agx	0	1	0	1
bcw	0	7	0	3
agr	1	1	1	1
agq	0	6	0	2
